delta_phase, -3, 0, 0, 0, 0, 0, -3, -3, -3, 0, 0, -3, -3, -3, 0, 0, 0, -3, -3, -3, -3, 0, 0, -3, 0, -3, -3, -3, -3
phases, '81', '84', '84', '84', '84', '84', '81', '81', '81', '84', '84', '81', '81', '81', '84', '84', '84', '81', '81', '81', '81', '84', '84', '81', '84', '81', '81', '81', '81'
phases_initial, 84
Theoretical, 1.0
